Temps	Consigne	Mesure
1650.00067200000	269.903300000000	265.100000000000
1680.00047900000	270.400000000000	265.620000000000
1710.00028800000	270.900000000000	266.080000000000
1740.00009600000	271.400000000000	266.580000000000
1769.99990400000	271.883300000000	267.020000000000
1799.99971200000	272.383300000000	267.500000000000
1829.99952000000	272.883300000000	268
1859.99932800000	273.373300000000	268.500000000000
1889.99913500000	273.866700000000	269
1919.99894400000	274.366700000000	269.440000000000
1949.99875200000	274.866700000000	269.960000000000
1979.99856000000	275.353300000000	270.460000000000
2009.99750400000	275.850000000000	270.900000000000
2039.99731200000	276.350000000000	271.320000000000
2069.99712000000	276.840000000000	271.860000000000
2099.99692800000	277.333300000000	272.680000000000
2129.99673500000	277.833300000000	273.080000000000
2159.99654400000	278.333300000000	273.140000000000
2189.99635200000	278.816700000000	273.660000000000
2219.99616000000	279.316700000000	274.420000000000
2249.99596800000	279.816700000000	274.800000000000
2279.99577500000	280.316700000000	275.180000000000
2309.99558400000	280.800000000000	275.760000000000
2339.99539200000	281.300000000000	276.260000000000
2369.99520000000	281.800000000000	276.700000000000
2399.99500800000	282.290000000000	277.220000000000
2429.99395200000	282.783300000000	277.660000000000
2459.99376000000	283.283300000000	278.160000000000
2489.99356800000	283.783300000000	278.640000000000
2519.99337500000	284.283300000000	279.120000000000
2549.99318400000	284.766700000000	279.600000000000
2579.99299100000	285.266700000000	280.120000000000
2609.99280000000	285.766700000000	280.600000000000
2639.99260800000	286.250000000000	281.100000000000
2669.99241600000	286.750000000000	281.580000000000
2699.99222400000	287.250000000000	282.040000000000
2729.99203100000	287.750000000000	282.560000000000
2759.99184000000	288.233300000000	283.060000000000
2789.99164800000	288.733300000000	283.560000000000
2819.99145600000	289.233300000000	284.040000000000
2849.99040000000	289.716700000000	284.500000000000
2879.99020800000	290.216700000000	285
2909.99001600000	290.716700000000	285.480000000000
2939.98982400000	291.200000000000	286
2969.98963100000	291.700000000000	286.460000000000
2999.98944000000	292.200000000000	287.260000000000
3029.98924800000	292.700000000000	287.500000000000
3059.98905600000	293.186700000000	287.800000000000
3089.98886400000	293.683300000000	288.360000000000
3119.98867200000	294.183300000000	288.960000000000
3149.98848000000	294.680000000000	289.360000000000
3179.98828700000	295.166700000000	289.800000000000
3209.98809600000	295.666700000000	290.320000000000
3239.98790400000	296.166700000000	290.800000000000
3269.98771200000	296.663300000000	291.300000000000
3299.98665600000	297.150000000000	291.800000000000
3329.98646400000	297.650000000000	292.300000000000
3359.98627200000	298.150000000000	292.780000000000
3389.98608000000	298.633300000000	293.260000000000
3419.98588700000	299.133300000000	293.720000000000
3449.98569600000	299.633300000000	294.220000000000
3479.98550400000	300.133300000000	294.760000000000
3509.98531200000	300.616700000000	295.180000000000
3539.98512000000	301.116700000000	295.640000000000
3569.98492800000	301.608300000000	296.150000000000
3599.98473600000	302.108300000000	296.600000000000
3629.98454300000	302.600000000000	297.140000000000
3659.98435200000	303.083300000000	297.616700000000
3689.98416000000	303.591700000000	298.100000000000
3719.98396800000	304.083300000000	298.600000000000
3749.98291200000	304.566700000000	299.120000000000
3779.98272000000	305.066700000000	299.600000000000
3809.98252800000	305.566700000000	300.060000000000
3839.98233600000	306.066700000000	300.540000000000
3869.99337500000	306.550000000000	301.100000000000
3900.00527900000	307.050000000000	301.900000000000
3930.01718400000	307.550000000000	302.100000000000
3960.02908800000	308.033300000000	302.280000000000
3990.04185500000	308.533300000000	302.880000000000
4020.05376000000	309.033300000000	303.620000000000
4050.06652800000	309.533300000000	304.020000000000
4080.07843100000	310.016700000000	304.460000000000
4110.09120000000	310.516700000000	304.940000000000
4140.09446400000	311.016700000000	305.480000000000
4170.09427200000	311.516700000000	305.920000000000
4200.09408000000	312	306.460000000000
4230.09388800000	312.500000000000	306.940000000000
4260.09369500000	313	307.360000000000
4290.09350400000	313.483300000000	307.840000000000
4320.09331200000	313.983300000000	308.340000000000
4350.09225600000	314.483300000000	308.880000000000
4380.09206400000	314.976700000000	309.320000000000
4410.09187200000	315.466700000000	309.780000000000
4440.09168000000	315.966700000000	310.280000000000
4470.09148800000	316.466700000000	310.800000000000
4500.09129500000	316.950000000000	311.300000000000
4530.09110400000	317.450000000000	311.720000000000
4560.09091200000	317.950000000000	312.240000000000
4590.09072000000	318.450000000000	312.760000000000
4620.09052800000	318.933300000000	313.280000000000
4650.09033500000	319.433300000000	313.680000000000
4680.09014400000	319.933300000000	314.180000000000
4710.08995100000	320.433300000000	314.740000000000
4740.08976000000	320.916700000000	315.160000000000
4770.08956800000	321.416700000000	315.720000000000
4800.08937600000	321.916700000000	316.500000000000
4830.08832000000	322.416700000000	316.620000000000
4860.08812800000	322.900000000000	317
4890.08793600000	323.400000000000	317.600000000000
4920.08774400000	323.900000000000	318.180000000000
4950.08755100000	324.390000000000	318.600000000000
4980.08736000000	324.883300000000	319.100000000000
5010.08716800000	325.383300000000	319.560000000000
5040.08697600000	325.883300000000	320.040000000000
5070.08678400000	326.366700000000	320.560000000000
5100.08659100000	326.866700000000	321.060000000000
5130.08640000000	327.366700000000	321.500000000000
5160.08620800000	327.856700000000	322
5190.08601600000	328.350000000000	322.500000000000
5220.08582400000	328.850000000000	323
5250.08563200000	329.350000000000	323.480000000000
5280.08544000000	329.833300000000	324
5310.08524700000	330.333300000000	324.440000000000
5340.08419100000	330.833300000000	324.940000000000
5370.08400000000	331.333300000000	325.460000000000
5400.08380800000	331.816700000000	325.880000000000
5430.08361600000	332.316700000000	326.420000000000
5460.08342400000	332.816700000000	326.880000000000
5490.08323200000	333.306700000000	327.400000000000
5520.08304000000	333.800000000000	327.800000000000
5550.08284700000	334.300000000000	328.320000000000
5580.08265600000	334.800000000000	328.940000000000
5610.08246400000	335.296700000000	329.580000000000
5640.08227200000	335.783300000000	329.800000000000
5670.08208000000	336.283300000000	330.140000000000
5700.08188800000	336.783300000000	330.600000000000
5730.08169600000	337.273300000000	331.340000000000
5760.08150300000	337.766700000000	331.840000000000
5790.08131200000	338.266700000000	332.240000000000
5820.08112000000	338.766700000000	332.680000000000
5850.08006400000	339.250000000000	333.280000000000
5880.07987200000	339.750000000000	333.740000000000
5910.07968000000	340.250000000000	334.100000000000
5940.07948800000	340.746700000000	334.640000000000
5970.07929600000	341.233300000000	335.140000000000
6000.07910300000	341.733300000000	335.660000000000
6030.07891200000	342.233300000000	336.080000000000
6060.07872000000	342.716700000000	336.600000000000
6090.07852800000	343.208300000000	337.100000000000
6120.07833600000	343.708300000000	337.600000000000
6150.07814400000	344.208300000000	338.050000000000
6180.07795200000	344.700000000000	338.640000000000
6210.07775900000	345.200000000000	339.340000000000
6240.07756800000	345.683300000000	339.500000000000
6270.07737600000	346.183300000000	339.880000000000
6300.07718400000	346.666700000000	340.480000000000
6330.07612800000	347.166700000000	341.080000000000
6360.07593600000	347.666700000000	341.500000000000
6390.07574400000	348.166700000000	341.940000000000
6420.07555200000	348.650000000000	342.500000000000
6450.08832000000	349.150000000000	343
6480.10022400000	349.650000000000	343.460000000000
6510.11212800000	350.140000000000	343.940000000000
6540.12489600000	350.633300000000	344.440000000000
6570.13680000000	351.133300000000	344.940000000000
6600.14870400000	351.633300000000	345.440000000000
6630.16060800000	352.116700000000	345.920000000000
6660.17251200000	352.616700000000	346.420000000000
6690.18528000000	353.116700000000	346.840000000000
6720.19718400000	353.616700000000	347.320000000000
6750.20908800000	354.106700000000	347.860000000000
6780.22185600000	354.600000000000	348.500000000000
6810.23376000000	355.100000000000	349.060000000000
6840.24566400000	355.596700000000	349.240000000000
6870.25843200000	356.083300000000	349.620000000000
6900.27033600000	356.583300000000	350.300000000000
6930.28310400000	357.083300000000	350.780000000000
6960.29932800000	357.566700000000	351.240000000000
6990.31296000000	358.066700000000	351.760000000000
7020.32572800000	358.566700000000	352.280000000000
7050.33763200000	359.056700000000	352.720000000000
7080.35040000000	359.550000000000	353.200000000000
7110.36230400000	360.050000000000	353.720000000000
7140.37507200000	360.550000000000	354.220000000000
7170.38697600000	361.033300000000	354.600000000000
7200.40060800000	361.533300000000	355.140000000000
7230.42460800000	362.033300000000	355.640000000000
7260.44342400000	362.520000000000	356.100000000000
7290.45532800000	363.016700000000	356.580000000000
7320.46723200000	363.516700000000	357.100000000000
7350.47827100000	364.016700000000	357.600000000000
7380.49017600000	364.503300000000	358.200000000000
7410.50208000000	365	358.820000000000
7440.51398400000	365.500000000000	359
7470.52675200000	365.993300000000	359.360000000000
7500.53865600000	366.483300000000	360.060000000000
7530.55056000000	366.983300000000	360.540000000000
7560.56246400000	367.483300000000	361
7590.56659200000	367.980000000000	361.500000000000
7620.56640000000	368.466700000000	361.960000000000
7650.56620800000	368.966700000000	362.500000000000
7680.56601600000	369.466700000000	362.980000000000
7710.56582400000	369.956700000000	363.460000000000
7740.56476800000	370.450000000000	363.980000000000
7770.56457500000	370.950000000000	364.400000000000
7800.56438400000	371.450000000000	364.980000000000
7830.56419200000	371.933300000000	365.400000000000
7860.56400000000	372.433300000000	365.840000000000
7890.56380800000	372.933300000000	366.380000000000
7920.56361600000	373.433300000000	366.820000000000
7950.56342400000	373.916700000000	367.340000000000
7980.56323100000	374.416700000000	367.840000000000
8010.56304000000	374.916700000000	368.300000000000
8040.56284800000	375.416700000000	368.800000000000
8070.56265600000	375.900000000000	369.300000000000
8100.56246400000	376.400000000000	369.800000000000
8130.56227200000	376.900000000000	370.280000000000
8160.56208000000	377.400000000000	370.760000000000
8190.56188700000	377.883300000000	371.240000000000
8220.56169600000	378.383300000000	371.740000000000
8250.56150400000	378.883300000000	372.240000000000
8280.56131200000	379.383300000000	372.900000000000
8310.56025600000	379.866700000000	373.500000000000
8340.56006400000	380.366700000000	373.560000000000
8370.55987200000	380.866700000000	374.040000000000
8400.55968000000	381.360000000000	374.700000000000
8430.55948700000	381.850000000000	375.140000000000
8460.55929600000	382.350000000000	375.600000000000
8490.55910400000	382.850000000000	376.100000000000
8520.55891200000	383.346700000000	376.620000000000
8550.55872000000	383.833300000000	377.100000000000
8580.55852800000	384.333300000000	377.600000000000
8610.55833600000	384.833300000000	378.100000000000
8640.55814300000	385.320000000000	378.560000000000
8670.55795200000	385.816700000000	379.020000000000
8700.55776000000	386.316700000000	379.580000000000
8730.55756800000	386.816700000000	380.040000000000
8760.55737600000	387.300000000000	380.520000000000
8790.55718400000	387.800000000000	381
8820.55699200000	388.300000000000	381.480000000000
8850.55679900000	388.800000000000	382
8880.55660800000	389.283300000000	382.460000000000
8910.55555200000	389.783300000000	383
8940.55536000000	390.283300000000	383.500000000000
8970.55516800000	390.766700000000	383.940000000000
9000.55497600000	391.266700000000	384.440000000000
9030.55478400000	391.766700000000	384.920000000000
9060.55459200000	392.256700000000	385.420000000000
9090.55439900000	392.750000000000	385.840000000000
9120.55420800000	393.250000000000	386.380000000000
9150.55401600000	393.750000000000	386.860000000000
9180.55382400000	394.233300000000	387.440000000000
9210.55363200000	394.733300000000	388.100000000000
9240.55343900000	395.233300000000	388.280000000000
9270.55324800000	395.716700000000	388.700000000000
9300.55305600000	396.216700000000	389.340000000000
9330.55286400000	396.716700000000	389.820000000000
9360.55267200000	397.203300000000	390.220000000000
9390.55248000000	397.700000000000	390.760000000000
9420.55228800000	398.200000000000	391.300000000000
9450.55209500000	398.700000000000	391.740000000000
9480.55103900000	399.183300000000	392.240000000000
9510.55084800000	399.675000000000	392.750000000000
9540.55065500000	400.175000000000	393.183300000000
9570.55046400000	400.675000000000	393.650000000000
9600.55027200000	401.162500000000	394.150000000000
9630.55008000000	401.666700000000	394.660000000000
9660.54988800000	402.158400000000	395.100000000000
9690.54969500000	402.655600000000	395.600000000000
9720.54950400000	403.141700000000	396.083300000000
9750.54931200000	403.633300000000	396.580000000000
9780.54912000000	404.133300000000	397.080000000000
9810.54892800000	404.623300000000	397.560000000000
9840.54873600000	405.116700000000	398.020000000000
9870.54854400000	405.616700000000	398.560000000000
9900.54835100000	406.116700000000	399.080000000000
9930.54816000000	406.600000000000	399.500000000000
9960.54796800000	407.100000000000	400.020000000000
9990.54777600000	407.600000000000	400.520000000000
10020.5475800000	408.100000000000	401.020000000000
10050.5473900000	408.583300000000	401.500000000000
10080.5472000000	409.083300000000	402.140000000000
10110.5461400000	409.583300000000	402.620000000000
10140.5459500000	410.076700000000	402.800000000000
10170.5457600000	410.566700000000	403.320000000000
10200.5455700000	411.066700000000	404
10230.5453800000	411.566700000000	404.480000000000
10260.5451800000	412.060000000000	404.880000000000
10290.5449900000	412.550000000000	405.380000000000
